year,RegNo,category,income,measure,type
2007,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,394.3434650701409,Mean,Nominal values
2007,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,301.4020042198743,Median,Nominal values
2007,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,472.64437040200517,Mean,Adjusted to inflation (base: 2010 prices)
2007,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,361.24843731610133,Median,Adjusted to inflation (base: 2010 prices)
2007,Mtskheta-Mtianeti,mean_income,278.2396671074937,Mean,Nominal values
2007,Mtskheta-Mtianeti,median_income,193.85023700850087,Median,Nominal values
2007,Mtskheta-Mtianeti,income_mean_infl,333.4869826167749,Mean,Adjusted to inflation (base: 2010 prices)
2007,Mtskheta-Mtianeti,income_median_infl,232.34117295912526,Median,Adjusted to inflation (base: 2010 prices)
2008,Kakheti,mean_income,368.81901554437746,Mean,Nominal values
2008,Kakheti,median_income,265.22019382974673,Median,Nominal values
2008,Kakheti,income_mean_infl,401.8671281386219,Mean,Adjusted to inflation (base: 2010 prices)
2008,Kakheti,income_median_infl,288.98531021078696,Median,Adjusted to inflation (base: 2010 prices)
2008,Tbilisi,mean_income,580.8882403168453,Mean,Nominal values
2008,Tbilisi,median_income,425.90525536220684,Median,Nominal values
2008,Tbilisi,income_mean_infl,632.9388645026088,Mean,Adjusted to inflation (base: 2010 prices)
2008,Tbilisi,income_median_infl,464.06859358628236,Median,Adjusted to inflation (base: 2010 prices)
2008,Shida Kartli,mean_income,385.2870595363008,Mean,Nominal values
2008,Shida Kartli,median_income,276.91787098480415,Median,Nominal values
2008,Shida Kartli,income_mean_infl,419.810794994645,Mean,Adjusted to inflation (base: 2010 prices)
2008,Shida Kartli,income_median_infl,301.7311604139201,Median,Adjusted to inflation (base: 2010 prices)
2008,Kvemo Kartli,mean_income,388.2401840787185,Mean,Nominal values
2008,Kvemo Kartli,median_income,287.62314174686435,Median,Nominal values
2008,Kvemo Kartli,income_mean_infl,423.028534939928,Mean,Adjusted to inflation (base: 2010 prices)
2008,Kvemo Kartli,income_median_infl,313.39567942128633,Median,Adjusted to inflation (base: 2010 prices)
2008,Samtskhe-Javakheti,mean_income,436.40915365735367,Mean,Nominal values
2008,Samtskhe-Javakheti,median_income,337.06417233111694,Median,Nominal values
2008,Samtskhe-Javakheti,income_mean_infl,475.5136961005884,Mean,Adjusted to inflation (base: 2010 prices)
2008,Samtskhe-Javakheti,income_median_infl,367.2668849061258,Median,Adjusted to inflation (base: 2010 prices)
2008,Adjara A.R.,mean_income,388.1189256604991,Mean,Nominal values
2008,Adjara A.R.,median_income,276.6,Median,Nominal values
2008,Adjara A.R.,income_mean_infl,422.8964111332947,Mean,Adjusted to inflation (base: 2010 prices)
2008,Adjara A.R.,income_median_infl,301.3848065265174,Median,Adjusted to inflation (base: 2010 prices)
2008,Guria,mean_income,395.7369893715376,Mean,Nominal values
2008,Guria,median_income,332.30011561594154,Median,Nominal values
2008,Guria,income_mean_infl,431.1970931927959,Mean,Adjusted to inflation (base: 2010 prices)
2008,Guria,income_median_infl,362.07594379482975,Median,Adjusted to inflation (base: 2010 prices)
2008,Samegrelo-Zemo Svaneti,mean_income,451.94096844741864,Mean,Nominal values
2008,Samegrelo-Zemo Svaneti,median_income,367.49289500661854,Median,Nominal values
2008,Samegrelo-Zemo Svaneti,income_mean_infl,492.43724272209755,Mean,Adjusted to inflation (base: 2010 prices)
2008,Samegrelo-Zemo Svaneti,income_median_infl,400.42218026550796,Median,Adjusted to inflation (base: 2010 prices)
